epoch,kl_weight,train_neg_elbo,train_ll,train_kl,test_neg_elbo,test_ll,test_kl
1,0.3333333333333333,163.16482559676024,-159.00516407760148,4.15966152115581,141.49898051757813,-132.94913107910156,8.549849731445313
2,0.6666666666666666,130.2912681029015,-121.95807867935024,8.333189030283505,122.43656671142578,-113.67650576171874,8.76006202697754
3,1.0,116.75114582494362,-108.788147365924,7.962998680232727,113.13426767578125,-105.08938751220703,8.044881247711182
4,1.0,109.29656062175319,-101.32996612234214,7.96659427328208,106.74285452880859,-98.60311138916016,8.139743827819824
5,1.0,103.49241158396927,-95.39950121063546,8.092910461819049,101.18505974121094,-92.95830635986329,8.226752203369141
6,1.0,98.35176408905343,-90.1301609314594,8.221603246079278,96.14343795166016,-87.71050772705078,8.432930322265625
7,1.0,93.4943213708622,-85.1558988118909,8.338422485233583,91.57193896484375,-83.07492891845703,8.497010858154297
8,1.0,89.01461131302352,-80.50843960476905,8.506171796739716,87.06507243652344,-78.38629725341796,8.678774575805663
9,1.0,84.81037934293452,-76.1237773305362,8.686601786269355,83.12672440185547,-74.17161387939453,8.95511028137207
10,1.0,80.80391142540371,-71.91594216258255,8.887969056355585,79.111125,-70.0498050415039,9.061320082092285
