case,score_name,quantile,detect_rate,mean_score,p95_score
clean,total_nll,0.99,0.00894,78.74620589050294,119.95855407714842
speed_scaled_1.5,total_nll,0.99,0.95144,38125.67153241295,111400.86171874996
speed_scaled_2.0,total_nll,0.99,0.95596,71886.62694017433,207952.1843749999
random_walk_velocity,total_nll,0.99,1.0,728.2516582650757,1662.0694335937492
sudden_turn_90,total_nll,0.99,0.89276,2610.463930148773,6935.924584960937
position_jump,total_nll,0.99,1.0,239.54612332122804,287.99071807861327
stationary_clutter,total_nll,0.99,0.0015,63.6682435938263,71.82606201171873
clean,total_nll,0.95,0.04898,78.74620589050294,119.95855407714842
speed_scaled_1.5,total_nll,0.95,0.95516,38125.67153241295,111400.86171874996
speed_scaled_2.0,total_nll,0.95,0.9592,71886.62694017433,207952.1843749999
random_walk_velocity,total_nll,0.95,1.0,728.2516582650757,1662.0694335937492
sudden_turn_90,total_nll,0.95,0.89622,2610.463930148773,6935.924584960937
position_jump,total_nll,0.95,1.0,239.54612332122804,287.99071807861327
stationary_clutter,total_nll,0.95,0.00288,63.6682435938263,71.82606201171873
